Date,Open,High,Low,Close,AdjClose,Volume
2022-12-06,1.2193,1.227,1.2127,1.2133,1.2133,559
2022-12-07,1.2133,1.2235,1.2107,1.221,1.221,234
2022-12-08,1.221,1.2247,1.2155,1.2234,1.2234,470
2022-12-09,1.2234,1.2323,1.2203,1.2265,1.2265,269
2022-12-11,1.2261,1.2272,1.2233,1.2236,1.2236,249
2022-12-12,1.2236,1.2299,1.2207,1.2269,1.2269,255
2022-12-13,1.2269,1.2444,1.2249,1.2355,1.2355,189
2022-12-14,1.2355,1.2447,1.2342,1.2419,1.2419,120
2022-12-15,1.2419,1.2426,1.2156,1.2191,1.2191,2131
2022-12-16,1.2191,1.2223,1.212,1.2144,1.2144,599
2022-12-18,1.2153,1.217,1.2153,1.216,1.216,24
2022-12-19,1.216,1.2242,1.2121,1.2155,1.2155,339
2022-12-20,1.2155,1.2224,1.2086,1.2189,1.2189,586
2022-12-21,1.2189,1.219,1.2055,1.2077,1.2077,1112
2022-12-22,1.2077,1.2148,1.1993,1.2038,1.2038,711
2022-12-23,1.2038,1.209,1.2019,1.2052,1.2052,181
2022-12-25,1.2068,1.2069,1.2054,1.2067,1.2067,136
2022-12-26,1.2066,1.2093,1.2053,1.2083,1.2083,130
2022-12-27,1.2083,1.2113,1.2003,1.2027,1.2027,683
2022-12-28,1.2027,1.2126,1.2003,1.2028,1.2028,222
2022-12-29,1.2028,1.2079,1.2015,1.2055,1.2055,129
2022-12-30,1.2055,1.2108,1.201,1.2094,1.2094,397
2023-01-01,1.2069,1.2099,1.2031,1.2043,1.2043,46975
2023-01-02,1.2087,1.21,1.2035,1.2063,1.2063,450
2023-01-03,1.2063,1.2085,1.1901,1.1967,1.1967,1368
2023-01-04,1.1967,1.2088,1.1966,1.2057,1.2057,24
2023-01-05,1.2057,1.2078,1.1873,1.1909,1.1909,1539
2023-01-06,1.191,1.21,1.1841,1.2094,1.2094,591
2023-01-08,1.2088,1.2121,1.2087,1.212,1.212,29
2023-01-09,1.212,1.221,1.2094,1.2184,1.2184,234
2023-01-10,1.2184,1.2198,1.211,1.2154,1.2154,626
2023-01-11,1.2154,1.2179,1.21,1.2159,1.2159,458
2023-01-12,1.2159,1.2247,1.2088,1.2217,1.2217,607
2023-01-13,1.2217,1.2249,1.2151,1.2235,1.2235,563
2023-01-15,1.2223,1.2234,1.2221,1.2224,1.2224,33
2023-01-16,1.2224,1.229,1.2172,1.2208,1.2208,445
2023-01-17,1.2208,1.2299,1.217,1.2284,1.2284,337
2023-01-18,1.2284,1.2436,1.2255,1.2347,1.2347,256
2023-01-19,1.2347,1.2399,1.2313,1.2393,1.2393,294
2023-01-20,1.2393,1.2405,1.2336,1.24,1.24,478
2023-01-22,1.2401,1.2415,1.2398,1.2406,1.2406,37
2023-01-23,1.2406,1.2448,1.2324,1.2379,1.2379,686
2023-01-24,1.2379,1.2414,1.2263,1.2332,1.2332,955
2023-01-25,1.2332,1.2419,1.2283,1.2411,1.2411,412
2023-01-26,1.2411,1.2431,1.2345,1.2414,1.2414,549
2023-01-27,1.2415,1.2419,1.2346,1.2399,1.2399,574
2023-01-29,1.2392,1.2401,1.2378,1.2401,1.2401,130
2023-01-30,1.2401,1.2418,1.2337,1.235,1.235,530
2023-01-31,1.235,1.2371,1.2285,1.2309,1.2309,549
2023-02-01,1.2309,1.2402,1.2273,1.2388,1.2388,307
2023-02-02,1.2388,1.2401,1.222,1.2221,1.2221,1376
2023-02-03,1.2221,1.2266,1.2048,1.2054,1.2054,1442
2023-02-05,1.2037,1.2057,1.2036,1.2044,1.2044,29
2023-02-06,1.2043,1.2078,1.2006,1.2027,1.2027,331
2023-02-07,1.2027,1.2096,1.1961,1.2054,1.2054,562
2023-02-08,1.2054,1.211,1.2039,1.2071,1.2071,145
2023-02-09,1.2071,1.2194,1.2057,1.2116,1.2116,133
2023-02-10,1.2116,1.2139,1.2047,1.2059,1.2059,585
2023-02-12,1.2066,1.2066,1.2047,1.2052,1.2052,176
2023-02-13,1.2051,1.2152,1.2031,1.215,1.215,190
2023-02-14,1.2151,1.2269,1.2118,1.2174,1.2174,291
2023-02-15,1.2174,1.2182,1.199,1.2037,1.2037,1529
2023-02-16,1.2037,1.2074,1.1966,1.1974,1.1974,612
2023-02-17,1.1974,1.2049,1.1915,1.2043,1.2043,515
2023-02-19,1.2029,1.2038,1.2025,1.2029,1.2029,53
2023-02-20,1.2029,1.2057,1.2015,1.2039,1.2039,137
2023-02-21,1.2039,1.2148,1.1986,1.2109,1.2109,455
2023-02-22,1.2109,1.2136,1.2035,1.2047,1.2047,635
2023-02-23,1.2047,1.2075,1.1992,1.2017,1.2017,474
2023-02-24,1.2017,1.2042,1.1928,1.1941,1.1941,756
2023-02-26,1.1952,1.1957,1.1945,1.195,1.195,77
2023-02-27,1.195,1.2068,1.1923,1.2063,1.2063,249
2023-02-28,1.2062,1.2144,1.2014,1.2033,1.2033,424
2023-03-01,1.2033,1.2089,1.1965,1.2027,1.2027,584
2023-03-02,1.2027,1.2037,1.1925,1.195,1.195,863
2023-03-03,1.1949,1.2049,1.1949,1.2044,1.2044,27
2023-03-05,1.2041,1.2041,1.2027,1.2028,1.2028,137
2023-03-06,1.2028,1.2049,1.1993,1.2025,1.2025,307
2023-03-07,1.2025,1.2065,1.1822,1.1827,1.1827,1712
2023-03-08,1.1827,1.1859,1.1803,1.1849,1.1849,223
2023-03-09,1.185,1.1939,1.1832,1.1923,1.1923,165
2023-03-10,1.1923,1.2114,1.1908,1.2031,1.2031,143
2023-03-12,1.2074,1.2104,1.2069,1.2076,1.2076,58
2023-03-13,1.2076,1.22,1.2047,1.2167,1.2167,260
2023-03-14,1.2167,1.2204,1.2137,1.2151,1.2151,271
2023-03-15,1.2151,1.2182,1.2011,1.2067,1.2067,1174
2023-03-16,1.2067,1.2128,1.2028,1.211,1.211,350
2023-03-17,1.211,1.2201,1.2102,1.2178,1.2178,83
2023-03-19,1.2212,1.2214,1.2178,1.2187,1.2187,295
2023-03-20,1.2188,1.2285,1.2167,1.2274,1.2274,186
2023-03-21,1.2274,1.2283,1.2179,1.2225,1.2225,793
2023-03-22,1.2225,1.2335,1.2209,1.2278,1.2278,154
2023-03-23,1.2278,1.2344,1.2262,1.2281,1.2281,153
2023-03-24,1.2281,1.2289,1.2191,1.2231,1.2231,752
2023-03-26,1.2234,1.225,1.223,1.2245,1.2245,54
2023-03-27,1.2245,1.2298,1.2219,1.2297,1.2297,231
2023-03-28,1.2297,1.2349,1.2281,1.233,1.233,147
2023-03-29,1.2331,1.2362,1.2303,1.2311,1.2311,242
2023-03-30,1.2311,1.2393,1.2294,1.2387,1.2387,154
2023-03-31,1.2387,1.2423,1.2324,1.2329,1.2329,525
2023-04-02,1.2332,1.2333,1.2284,1.2286,1.2286,402
2023-04-03,1.2286,1.2426,1.2275,1.2421,1.2421,115
2023-04-04,1.2421,1.2525,1.2395,1.25,1.25,224
2023-04-05,1.2499,1.2514,1.2433,1.2463,1.2463,548
2023-04-06,1.2463,1.2487,1.2413,1.2438,1.2438,417
2023-04-07,1.2438,1.2456,1.239,1.2417,1.2417,411
2023-04-09,1.2417,1.2432,1.2417,1.2431,1.2431,20
2023-04-10,1.2431,1.2443,1.2345,1.2392,1.2392,714
2023-04-11,1.2392,1.2456,1.2387,1.243,1.243,59
